trdar_no,trdar_nm,signgu_cd,signgu_nm,link_cnt,minm_road_cfi,max_road_cfi,ave_road_cfi,trdar_dgrm_crdnt
10031,송내 영화의거리,41190,부천시,19,3,61,28.6,"MULTIPOLYGON(((126.754731724977 37.4914338212014,126.754731710164 37.4914383261687,126.753926962652 37.4885894838556,126.753800038687 37.4876476728148,126.753800068421 37.487638662875,126.753788850706 37.4876116093615,126.754439191293 37.4875544054106,126.75621475911 37.4874409731371,126.756353461528 37.4882476560664,126.75580496803 37.4882780522753,126.755966163919 37.4891208222935,126.756701260775 37.4890818019476,126.756578910929 37.4884598584455,126.756940795199 37.4884425877128,126.757374692515 37.4906193995678,126.757323765358 37.4906328093739,126.757424198499 37.4910429716991,126.754731724977 37.4914338212014)))"
10033,신중동역,41190,부천시,26,5,52,29.1,"MULTIPOLYGON(((126.775461091031 37.5047837982464,126.775089961202 37.5048994532065,126.775033671898 37.5048137505615,126.774844145836 37.5039078842675,126.769376701741 37.504602303886,126.768887716977 37.5018172584447,126.770680911994 37.5015910193607,126.770580628192 37.501104284343,126.774902300566 37.5005675444655,126.775965957478 37.4966006786558,126.777559525881 37.4969055432401,126.775461091031 37.5047837982464)),((126.775461091031 37.5047837982464,126.775463529041 37.504783038491,126.775460694872 37.5047852855657,126.775461091031 37.5047837982464)))"
10034,역곡역_2,41190,부천시,11,43,100,73.5,"MULTIPOLYGON(((126.810037372388 37.4860232611263,126.810627623885 37.4848766416753,126.810647513415 37.4848361287166,126.808670644713 37.484141402249,126.809263384279 37.483369758607,126.813038502511 37.4849773670165,126.814063482399 37.4854159821778,126.813463847268 37.4855682002474,126.813336331252 37.4856941375685,126.814562006096 37.4861375726177,126.814258230543 37.4866664301799,126.811569424259 37.4857859173841,126.811237168067 37.48639130654,126.810037372388 37.4860232611263)),((126.810037372388 37.4860232611263,126.810036753663 37.4860244630589,126.810033932727 37.4860222059871,126.810037372388 37.4860232611263)))"
10035,고양시청_1,41281,고양시 덕양구,31,75,100,96.8,"MULTIPOLYGON(((126.834401620459 37.6551702318283,126.834412952794 37.6551702478675,126.836991740095 37.6574353182832,126.836219880491 37.657992844952,126.835563962598 37.6573702517999,126.83541627692 37.6575322197046,126.83520133723 37.6573607317927,126.834758537699 37.6577295071372,126.833989530537 37.6570076381321,126.833423975408 37.6565293172755,126.833005118958 37.65633050558,126.833753611544 37.6560883080752,126.833210912556 37.6555289307911,126.834401620459 37.6551702318283)))"
10036,고양시청_2,41281,고양시 덕양구,30,75,100,97.2,"MULTIPOLYGON(((126.838089707976 37.6580314869387,126.838078414669 37.6580134517986,126.834809624787 37.6551527890947,126.834855135197 37.6550717655223,126.839231723319 37.6540147105117,126.83937796494 37.6545104482069,126.83791533609 37.6548598112521,126.838151953413 37.6554818121903,126.838616856514 37.6553563179072,126.839283390109 37.6563122698944,126.839215199101 37.6564022737437,126.839090502106 37.6564201217815,126.838364235496 37.6568696082473,126.839054190127 37.6574832229834,126.838089707976 37.6580314869387)))"
10037,덕양구청,41281,고양시 덕양구,8,14,70,41.0,"MULTIPOLYGON(((126.832629929575 37.6393375455161,126.832629934669 37.6393352930779,126.832294257683 37.6387221473181,126.832756096103 37.6386574873272,126.832686196235 37.6382541996136,126.832187543595 37.6383165541078,126.832139463581 37.6382849509119,126.83207769159 37.6380461030289,126.834534050985 37.6377635413878,126.834567551615 37.6379820760233,126.834519284436 37.6380338140329,126.834085821186 37.6380782491595,126.834147226062 37.6384837764688,126.835000004505 37.6383903793403,126.835117607107 37.6390009579181,126.835083547187 37.6390324441575,126.832629929575 37.6393375455161)))"
10038,행신1동주민센터,41281,고양시 덕양구,20,3,99,31.7,"MULTIPOLYGON(((126.835815938682 37.6255390567271,126.835793243039 37.6255570444886,126.833747598088 37.6234638815744,126.833748144311 37.6232206175776,126.835778621796 37.6219350819541,126.837293290532 37.6233877768445,126.835966075375 37.6242418554624,126.836757222025 37.6250538442267,126.836019819776 37.6255483524073,126.835815938682 37.6255390567271)))"
10039,행신역,41281,고양시 덕양구,12,16,67,38.5,"MULTIPOLYGON(((126.832452869562 37.6149477623769,126.832454510173 37.6142224742447,126.833496543389 37.6142104464612,126.833510704811 37.6129490916245,126.833703599529 37.6127916939513,126.834694575691 37.612811117394,126.834699152802 37.6132976542593,126.835667503995 37.6133080277584,126.835741072912 37.6133306555917,126.835726109673 37.6149704219528,126.834701085652 37.6149689787079,126.834677538189 37.6153698823936,126.834575551243 37.6153922628337,126.833499593672 37.6153727175082,126.833494852134 37.6149627640047,126.832452869562 37.6149477623769)),((126.832452869562 37.6149477623769,126.832452838989 37.6149612770618,126.83245286956 37.6149477623769,126.832452869562 37.6149477623769)))"
10040,화정역_1,41281,고양시 덕양구,12,14,68,38.1,"MULTIPOLYGON(((126.831154403947 37.6346679496571,126.830992267361 37.6345870351162,126.830084424626 37.6303060694457,126.830186732945 37.6301530513971,126.833257557258 37.6298060845516,126.833302708876 37.629878227245,126.834187669222 37.6343393320119,126.831154403947 37.6346679496571)),((126.831154403947 37.6346679496571,126.831173329176 37.6346773943251,126.831150691287 37.634668351879,126.831154403947 37.6346679496571)))"
10041,화정역_2,41281,고양시 덕양구,14,14,70,40.9,"MULTIPOLYGON(((126.831418806557 37.6363310441821,126.831424461033 37.63633555722,126.831300031923 37.6362497849576,126.831076198066 37.6350421506065,126.831184103592 37.6349206741583,126.834232491496 37.6345601353561,126.8344787517 37.6358939326134,126.834393609772 37.6359703953407,126.831418806557 37.6363310441821)))"
10042,마두역_1,41285,고양시 일산동구,12,7,75,35.3,"MULTIPOLYGON(((126.776471396203 37.6548938183236,126.776426610773 37.6547135379225,126.778841545195 37.6505285824175,126.779610995115 37.6508994313778,126.777241637466 37.6550124110115,126.777082768845 37.6550841870641,126.776471396203 37.6548938183236)))"
10043,마두역_2,41285,고양시 일산동구,24,1,78,29.6,"MULTIPOLYGON(((126.771152453379 37.6562170007516,126.771095791124 37.6562168901565,126.771608416647 37.6553529538911,126.769797204221 37.6547187298331,126.77061761305 37.6532697676016,126.774681420599 37.6547192069414,126.774862517276 37.6547916328092,126.77770987208 37.6500309056318,126.778490588935 37.6504198027932,126.774321918715 37.657412430286,126.771152453379 37.6562170007516)))"
10044,백석역_1,41285,고양시 일산동구,24,1,63,30.7,"MULTIPOLYGON(((126.788008387077 37.6427700908238,126.787997056656 37.6427700703324,126.785013037747 37.6402779386606,126.788929932149 37.6374649964326,126.791834786852 37.6399118407998,126.788008387077 37.6427700908238)))"
10045,백석역_2,41285,고양시 일산동구,24,7,78,41.4,"MULTIPOLYGON(((126.785124100839 37.6449587180364,126.785124113899 37.644954213177,126.784524998469 37.6444665860709,126.787034618072 37.6425430814953,126.78715921351 37.6425568224422,126.787656614899 37.6429541544209,126.787679082231 37.6430217683946,126.785124100839 37.6449587180364)))"
10046,백석역_3,41285,고양시 일산동구,24,7,78,41.4,"MULTIPOLYGON(((126.788040607833 37.6432926791555,126.788029579235 37.6432836860531,126.788040883969 37.6432927162649,126.788040607833 37.6432926791555)),((126.788040607833 37.6432926791555,126.788572183838 37.6437261447138,126.788600266121 37.6438117881706,126.786096400331 37.6457038019534,126.785468984664 37.6452026133945,126.78797292674 37.6432835835943,126.788040607833 37.6432926791555)))"
